text,date,message_id,has_media,react1,count1,react2,count2,react3,count3,react4,count4,react5,count5
"مرد خم میشه ولی نمیذاره خانوادش احساس کنن و بفهمن چی بهش گذشته...

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127891,1,😢,2935,❤,684,👍,136,👎,27,🤣,14
"یکی از کاربرا از بچه ها خواسته بود یه ترفند بگین که خودتون کشف کردید و بسیار کاربردی رو بگید، جوابا عالیه😂🥹:
 
+‌اگه حس کردین یکی رو میخواین پاره کنین بی‌ دلیل مشخص، یه چیز شیرین بخورین. اگه بعدش باز هم حسش رو داشتین پاره کنین

+موقع پیاز خورد کردن عینک شنا بزارین قابل نداره

+‌اون سوراخی که زیر گلدون هست و برای خارج شدن آب هست، در واقع برای وارد شدن آب هم هست
شما میتونید آب رو بریزید داخل ظرف زیر گلدون و ازونجا گیاه آب رو میکشه.
هم گیاه بهتر ریشه میسازه و هم اینکه سطح خاک قارچی نمیشه و پشه هم جمع نمیشه.

+‌وقتی لباسا تو ماشین شسته شدن ولی یادمون رفته خالی کنیم و پهن کنیم و بو گرفتن؛
پهنشون نکنین و همونجوری دوباره مایع بریزین و بشورین بعد پهن کنین. اگه خشک بشن بوشون نمیره هرگز ولی اینجوری بویی نمیمونه.

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127890,0,👍,1836,🤣,96,❤,38,🤔,25,😡,12
"پدافند هایِ هوایی ارتش کرج از امروز صبح تو سطح شهر مستقر شدن

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127889,1,🤣,2983,😐,170,👍,103,👎,65,❤,37
"بدلیل پروژه‌ای که داشتیم بیشتر از ۲۰ بار استانبول رفتم،
حتی یکبار برای نمونه راننده تاکسی محترم و انسان ندیدم،
همگی بدون استثنا دزد و کلاهبردار!
یکبار ۵۰ لیر دادم پیاده شدم چمدونمو بردارم با ۵ لیری عوض کرد پدرسگ…
آخرین‌بار با خودم گفتم طلا بریزن، دیگه این خراب شده نمیام.

+اکثر رستوران‌هاشون سه‌ مدل قیمت/منو دارن، یکی برای خودشون یکی برای ترکای شهرای دیگه و خارج ترکیه و یکی دیگه که تقریبا سه برابر قیمت اولی هست برای توریستای غیرتُرک!
همه جا خوب/بد داره ولی اگه درصدی بگم بنابر تجربه شخصی، تو استانبول، نه کل ترکیه، بالای ۹۰ درصدشون کلاه سر توریست میذارن

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127888,0,👍,4687,😡,342,🤣,78,😢,54,👌,29
"با این بازی متوجه احساسات، نیاز‌ها و ترس‌های بچه‌هاتون می شین👌

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127887,1,❤,965,👍,214,😢,20,👌,13,🤣,12
"اومدم از خونه برم بیرون متوجه شدم موقعی که اومدیم خونه، دخترم کفشهاشو در آورده گذاشته داخل کفش من🥹 

خیلی ذوق کردم جوری که برگشتم داخل و شروع کردم به بوسیدنش. نمی‌دونم شدت ذوق منو درک میکنید یا نه ولی از خدا میخوام براتون این صحنه رو رقم بزنه…

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127886,1,❤,5768,😍,772,👍,146,😢,73,🤣,55
"واکنش کارشناس صداوسیما به حمله اسرائیل

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127885,1,😡,3224,🤣,1146,👎,242,😐,146,👍,75
"تصاویر شهیدان امروز فراجا در تفتان سیستان و بلوچستان

تصاویر شهدای پدافند هوایی ارتش

🆔 @GizmizTel 💯",2024-10-26 16:31:00+00:00,127883,1,❤,5533,😢,1551,🤣,74,👍,65,😡,29
"فیلم لحظه ترور امام‌جمعه کازرون

‌‌‌‌‌‌‌‌‌‌‌‌‌‌‎‌‌‎‌‌🆔 @GizmizTel 💯",2024-10-26 12:31:46+00:00,127880,1,😢,5359,👍,1675,🤣,677,😡,190,👌,73
"مجری: دیدین که اسرائیل حمله کرد؟
مردم: اسرائیل گوه زیادی خورده😂
مجری: یک فحشی بده بتونیم پخش کنیم😂

🆔 @GizmizTel 💯",2024-10-26 10:39:03+00:00,127879,1,🤣,5922,👎,815,👍,279,😐,160,😁,67
"یادتونه زلزله شد
سیل اومد
از تهران براتون کمک ارسال کردیم؟
الان وقت تلافیه
ما تهرانیا جنگ زده ایم
لطفا کمک های نقدی و غیر نقدی شامل:
هودی سبز و سامبای سبز و سفید
شلوار بگ زاپدار ذغالی
نون خامه ای
جوراب از این طرح دارا
باقلوا
کمپوت گلابی و گیلاس
تعدادی PS5 پرو برای سرگم کردن بچه های جنگ زده 
را برای کمک به پایتخت نشین ها جمع آوری و ارسال کنید
شماره کارت هم می فرستم براتون

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127878,0,🤣,7988,👍,392,👎,244,😐,128,❤,103
"داشتم فکر میکردم دیدم بهترین پناهگاه تو تهران، ایستگاه مترو تجریشه. لامصب اگه دو طبقه دیگه بره پایین به هسته زمین میرسه.

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127877,1,🤣,3970,👍,384,🤯,196,❤,35,👎,23
"قسمت جالب حملات دیشب این بود که ‏اسرائیل جرات نکرده وارد حریم هوایی کرج بشه اطرافش رو زده. 🤭🤣

+حمله به کرج یعنی سلام به پرواز پرشیا های سفید بر فراز تل آویو.

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127876,0,🤣,5224,👍,203,👎,136,😐,56,❤,32
"واکنش ایرانی ها به حمله اسرائیل

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127875,1,🤣,2855,👍,178,👎,127,😐,31,😡,24
"‏وعده صادق ۱ واکنشی بود برای زدن کنسولگری ایران در دمشق(خاک ایران)
وعده صادق ۲ واکنشی بود برای زدن هنیه در تهران.
حالا هم منتظر سومین واکنش هستیم چون صگیونیستا فقط زبان زور رو میفهمن!

✍️علی آگاه

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127874,1,👍,7096,👎,1553,🤣,275,😐,62,❤,37
"دهه شصتیا وقتی می‌فهمن دیگه نمی‌تونن بگن نسل شما جنگ ندیده!

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127873,1,🤣,4759,👍,183,👎,91,😐,59,❤,24
"یکی پیام داده: از صدا پاشدم فکر کردم زلزله‌س، دیدم موشکه خیالم راحت شد رفتم بخوابم!


زندگیامون از درون تراژدیه از بیرون کمدی😂

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127872,0,🤣,5428,👍,253,😢,142,😐,45,👎,43
"🔻پنجه کشیدن مستقیم دیشب روی صورت پایتخت را بی‌اهمیت جلوه ندهید

🔹این خط رسانه‌ای بعدها روی زمین تبعات سهمگینی برای ایران خواهد داشت./ وحيد اشتری

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127871,1,👍,5644,👎,320,🤔,84,🤣,72,😁,48
"پدافند ایران خیلی در‌ونگرا و توداره. 
اینطوری نیست که با آژیر کشیدن با بقیه مطرحش کنه خودش تنهایی حلش میکنه.

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127870,0,👍,5711,🤣,1124,❤,213,👎,70,😐,52
"۷ به ژاپنی میشه ننه 👵

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127869,1,🤣,1812,👍,74,😐,68,❤,48,🤯,33
"🔻آیا دل شکستن باعث‌ مرگ میشود؟!**
**
🔹دلی که اصطلاحا بشکنه به اسم علمی داره به نام کاردیومیوپاتی تاکوتسوبو این شرایط بعضا میتونه منجر به ایست قلبی و مرگ بشه جالبه بدونید که ۸۰ درصد از افرادی که به خاطر شکسته شدن دلشون می میرند، خانم هستند

🆔 @GizmizTel 💯",2024-10-26 10:27:20+00:00,127868,1,😢,3467,👍,165,❤,63,🤣,43,👎,24
"**عکس شهید محمد مهدی شاهرخی فر که در دفاع در مقابل حملات ارتش اسرائیل به بندر ماهشهر به شهادت رسید.
**
‌🆔 @GizmizTel 💯",2024-10-26 09:38:06+00:00,127867,1,❤,12451,😢,3363,🤣,213,👍,106,🥰,35
"تصویری از شهید حمزه جهاندیده که در دفاع در مقابل حملات به شهرستان ماهشهر به شهادت رسید.

🆔 @GizmizTel 💯",2024-10-26 08:07:16+00:00,127865,1,❤,11243,😢,2813,🤣,230,😡,70,👌,24
"کانال‌های ایرانی زدن سید جواد هاشمی شهید شده بعد کانال های اسراییلی همینو برداشتن به عنوان خبر زدن🤣

🆔 @GizmizTel 💯",2024-10-26 06:32:44+00:00,127863,1,🤣,12432,😁,230,👍,135,👎,81,❤,30
"بورس سبز شد**
**
+ ولی چرا ایران همه چیش برعکسه؟
ایران اسراییل رو میزنه بورس ایران کلا تعطیل میشه، چند روزم قرمز میمونه
اسراییل ایران رو میزنه بورس سبز میشه 
مثل آدم رفتار کن دیگه 😂

🆔 @GizmizTel 💯",2024-10-26 06:32:39+00:00,127862,1,🤣,4844,👍,298,😐,125,❤,43,😡,34
"یک ماهه هی اسرائیل میگه حملات ما کوبنده و کشنده و فیلان و بیسار خواهد بود
یکی این فیلم چهارشنبه‌سوری تهران از زاویه داخل هواپیمارو به بنیامین نتانیاهو نشون بده
بفهمه انفجارهای کوبنده و کشنده یعنی چی 😂

🆔 @GizmizTel 💯",2024-10-26 06:32:26+00:00,127859,1,🤣,4626,👍,326,👎,165,❤,47,😢,30
"فعالیت مجدد پدافند تهران هم اکنون

‌🆔 @GizmizTel 💯",2024-10-26 01:33:01+00:00,127852,1,👍,2592,😢,134,🤣,83,🤯,46,😁,19
"⭕️صدایی شبیه چندین انفجار شدید و پی در پی در غرب تهران مردم رو از خواب بیدار کرده!

هنوز منشا صداها مشخص نیست

‌🆔 @GizmizTel 💯",2024-10-25 22:48:29+00:00,127775,0,👍,1778,😢,419,🤣,92,🤔,76,👎,30
"چه‌خبره جاده چالوس☃️😄 صفا باشه❤️

‌🆔 @GizmizTel 💯",2024-10-25 21:29:04+00:00,127774,1,❤,1541,😍,236,👎,144,🤣,96,😐,48
"واسه مامانت نفرست😁

‌🆔 @GizmizTel 💯",2024-10-25 21:28:47+00:00,127771,1,🥰,1237,👍,137,👎,125,🤣,76,❤,44
"گلچین اتفاقات غیرمنتظره در عروسی :))

‌🆔 @GizmizTel 💯",2024-10-25 21:28:47+00:00,127770,1,😁,634,🤣,260,🤯,80,😐,45,👎,27
"دخترا گناه دارن اذیتشون نکنید ...

‌🆔 @GizmizTel 💯",2024-10-25 21:28:47+00:00,127769,1,🤣,1365,👎,217,😡,88,😐,38,❤,20
"بدون تعارف با زن تبریزی که سرویس میلیاردی‌اش را به جبهۀ مقاومت هدیه کرد

‌🆔 @GizmizTel 💯",2024-10-25 21:28:47+00:00,127768,1,👎,4232,❤,2110,😡,278,👍,107,🤣,78
"دیگه توی جنگ ها تعداد نفرات خیلی مهم نیست. حرف اول را تکنولوژی و دانش جنگ میزنه.

🆔 @GizmizTel 💯",2024-10-25 21:28:47+00:00,127767,1,😢,1460,👍,376,🤯,135,👎,111,😁,48
"مردم کانادا با تورم ۸ درصدی VS مردم ایران با تورم ۵۰ درصدی

‌🆔 @GizmizTel 💯",2024-10-25 21:28:46+00:00,127763,1,😁,1068,😢,476,🤣,133,👎,47,😐,33
"ماشین من به جهنم، کون خودت سالمه؟

‌🆔 @GizmizTel 💯",2024-10-25 21:28:46+00:00,127762,1,🤣,2838,👍,69,👎,34,😁,29,😡,11
"قضیه اتوبانهای آمریکا چیه چرا همشون شماره دارن و اسم ندارن؟

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127761,1,👌,1974,👍,298,🤯,155,👎,105,🤣,41
"فرهنگی بازنشسته: خاک بر سر من! با مدرک فوق لیسانس باید گوشت قسطی بگیرم!

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127759,1,😢,4254,👍,290,👎,82,🤣,72,❤,36
"هر کی‌ هر جا هست یک قدم از هوش مصنوعی فاصله بگیره.

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127758,1,😢,1039,❤,373,👎,96,🤣,42,😐,35
"استخدام قدیم و استخدام جدید😂

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127757,1,🤣,1019,👍,158,👎,48,😢,31,😁,18
"رفیق عوضیم اگه اتفاقی برام بیوفته:

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127756,1,🤣,1016,👎,87,👍,40,😁,27,😢,12
"یه دفتر پیدا کردم از مامانم که توش سالهای اول زندگیمونو نوشته. میخونم و به شکل عجیبی بغض کردم نمیدونم چرا.
جمعه نباید همچین چیزی پیدا میکردم …

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127754,1,😢,3646,❤,794,👍,112,👎,36,😍,21
"قیمت سکه در سال ۷۸ را ببینید تا معنای واقعی سفر در زمان را دریابید. 

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127753,1,😢,1271,😡,157,🤯,52,👍,31,🤣,26
"شاباش میلیاردی هشترودی های مقیم کرج!

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127751,1,👎,1507,👍,377,😐,200,😍,77,😢,43
"فیلم لحظه عبور یک گله آهو از پارک سرخ حصار تهران 

‌‌‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127750,1,❤,2463,😍,690,👍,84,🥰,30,🤣,26
"خیرندیده ها بمب اتم زدن وسط سفره رفتن 🥺😂

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127748,1,🤣,1432,👎,545,😐,73,😡,26,😁,12
"تنها سکانسی که علی صادقی نتونست جلوی خنده اش رو نگه داره😁

‌🆔 @GizmizTel 💯",2024-10-25 16:36:03+00:00,127747,1,🤣,1424,👍,65,😁,31,👎,29,❤,29
"دهنتون سرویس با این دوربین مخفیتون🤣

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127744,1,🤣,2732,👎,267,👍,116,😐,55,🤔,16
"با شکم گشنه که نمیشه جنگید😁

در لحظه زندگی کردن یعنی همین، واِلا از کجا معلوم فرداش زنده باشی اونم تو این وضعیت جنگ

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127742,1,🤣,1965,👍,289,❤,117,😐,93,😁,24
"ملا نصرالدین از همسایه اش دیگی قرض گرفت، پس از چند روز دیگ را به همراه دیگ کوچکی به او پس داد.
وقتی همسایه قضیه دیگ اضافی را پرسید، ملا گفت: دیگ شما در خانه ما وضع حمل کرد.
چند روز بعد، ملا دوباره برای قرض گرفتن دیگ به سراغ همسایه رفت و همسایه ی خوش خیال این بار دیگی بزرگتر به ملا داد
به این امید که دیگچه بزرگتری نصیبش شود.
تا مدتی از ملانصر الدین خبری نشد، همسایه به در خانه او رفت و سراغ دیگ خود را گرفت. ملا گفت: دیگ شما موقع وضع حمل در خانه ما فوت کرد😊
همسایه گفت: مگر دیگ هم میمیرد؟ چرا مزخرف می گویی!!!
ملا گفت: چرا روزی که گفتم دیگ تو زاییده نگفتی دیگ نمیزاید؟ دیگی که میزاید حتما مردن هم دارد😄

+این حکایت بعضی از ماست که هرجا به نفعمان باشد عجیب ترین دروغ ها و داستان ها را باور میکنیم اما کوچکترین ضررها را برنمی تابیم.

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127741,0,👍,3807,🤣,264,👌,68,❤,50,👎,15
"زمینه جنگ جهانی داره آروم آروم فراهم میشه از وقتی معلوم شد کره شمالی برای کمک به روسیه سرباز می فرسته کره جنوبی گفته ماهم میخوایم برای کمک به اوکراین سرباز بفرستیم

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127740,1,🤣,2303,😢,569,👍,226,😐,222,👎,77
"عربستان داره بزرگترین ساختمان جهان رو که به شکل یه مکعبه و از شکل کعبه الهام گرفته میسازه!

این ساختمون اونقدر بزرگه که ۲۰ ساختمان به بزرگی ساختمان‌های امپایراستیت نیویورک توش جا میگیره!

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127738,1,👎,2806,👍,1452,🤯,371,🤣,68,😡,60
"رفیق واقعی تمام ماجراست....

رقص ورزشکار پیشکسوت و دوست قدیمی هادی چوپان در مراسم استقبال از هادی در بازگشت از مستر المپیا

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127737,1,👍,1709,❤,486,👎,97,🥰,38,😐,20
"یه مادر همیشه مادری میکنه برای هر موجودی :   

فقط نگاه مامان گوربه😍

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127736,1,❤,3192,😍,432,🤣,185,👎,73,🥰,43
"این فیلمو به فامیلایی که چپ چپ نگاه میکنن به تتوتون نشون بدید😁

حتی میتونید تضمینی اجازه خانواده رو برای تتو بگیرید!😂

+اونی که تا آخر باهاته تتوهاته🤣

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127735,1,👎,1213,👍,521,🤣,333,❤,34,🤯,30
"هر شاهکار یه کپی بی ارزش داره
کپی برداری ناشیانه افغان‌ها از فیلم مزاحمت ساخته‌ی ایرج‌ ملکی

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127734,1,👎,1385,😁,485,🤣,268,😡,101,👍,56
"بذارم برا کی؟ برای وارث؟ 
بعد خودم نباشه جهان 😎

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127733,1,🤣,1702,😢,166,👎,67,❤,37,👌,37
"از شهردار عزیزمون تشکر می‌کنیم که انقدر به فکر توریست‌ها و مسافرین انگلیسی زبان تهران هستن

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127732,1,🤣,3196,😐,433,😡,58,👎,41,👌,17
"جارو مخصوص غیبت😂

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127731,1,👎,931,🤣,823,👍,85,🤯,16,😍,16
"فقط دومی که فرار کرد😂

🆔 @GizmizTel 💯",2024-10-25 10:28:37+00:00,127730,1,🤣,1562,👎,216,👍,84,❤,21,😍,18
"عقد آریایی هم معضلی شده این روزا😂

‌🆔 @GizmizTel 💯",2024-10-24 21:23:15+00:00,127728,1,👎,4163,🤣,2542,😍,234,😡,198,👍,197
"قشنگترین ویدئویی که امروز میتونستی ببینی 🥹

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127724,1,😢,1676,❤,1144,👍,107,👎,42,🤣,32
"تاریخ تکرار میشود...

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127723,1,😢,7041,❤,304,🤣,125,👎,107,👍,93
"دختربچه فلسطینی که خواهر مجروح خود را در منطقه تحت‌ محاصره غزه به دوش کشیده و با پای برهنه به دنبال پناهگاهی امن می‌گردد.

+جنایات اسرائیل به کنار...
خواهر داشتن این شکلیه...
هر جا گیر کنی رو دوشش هم شده حملت میکنه حتی اگر ضعیف و نحیف باشه...

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127722,1,😢,8920,❤,603,👎,195,👍,162,😁,92
"🔻صحبت های یکی از افراد حاضر در تجمع علیه رفع فیلتر:

🔹فضای حریم زناشویی اومده تو اینستاگرام / فیلم سوپرایز هست با هشتگ سوپرایز!

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127720,1,😡,7363,👍,2081,🤣,1122,👎,297,😐,133
"فکت حق:😂

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127719,1,🤣,2284,👍,157,👎,108,😁,24,😡,13
"صحبت های روی کین در مورد کارت قرمز هایی که گرفته😂

‌‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127718,1,🤣,1048,👍,94,👎,48,😐,40,❤,36
"تخمه برای بازیهای کل فصل آورده؟!😅

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127717,1,🤣,2220,😁,122,👍,67,👎,60,❤,55
"احترام به عروس و داماد

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127716,1,👍,2508,👎,96,👌,53,😢,25,😡,10
"خدا بگم چیکارت کنه مرد دومینوهات واقعا پشم ریزونه!😄

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127715,1,🤣,1395,👎,242,👌,181,😐,122,🤯,49
"گاهی حتی خودت رو فراموش میکنی!

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127714,1,👍,1226,😢,98,👌,26,👎,20,❤,17
"اردوغان از جلوی پزشکیان رد می شه و‌ دست نمیده با بقیه دست میده

نگاه پزشکیان پشت اردوغان جوریه که انگار میگه ""اده کپیه اوغلی مال ما خار داشت فقط""؟!

✍بهلول

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127713,1,👎,3726,😡,2220,🤣,776,👍,167,🤔,51
"خیلی خوب بود😂

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127712,1,🤣,2549,👍,76,😐,57,👎,48,❤,44
"مشکل تمام ۲۰۶ و ۲۰۷ سواران 😂

‌🆔 @GizmizTel 💯",2024-10-24 21:22:55+00:00,127711,1,🤣,2209,👎,154,👍,73,😐,45,😁,20
"عجیب ترین اسم کوچه و محله ها در ایران😂

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127710,1,🤣,1549,😐,181,👍,108,👎,68,❤,24
"صحبت‌های یکی از افراد حاضر در تجمع علیه رفع فیلتر: 

جوری فیلتر کنید که هیچکس نتونه وارد شبکه‌های اجتماعی بشه، موافق حذف پهنای باند کامل اینستاگرام، تلگرام، واتس‌اپ و ایکس هستیم!

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127708,1,👎,8470,😡,2703,👍,1049,🤣,659,😐,144
"یک روز عادی در هاگوارتز :)

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127707,1,🤣,1712,🤯,219,👍,99,😁,40,😍,29
"سس ماس🤯

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127706,1,🤯,1480,👍,463,👌,132,😁,32,😐,23
"به به چه برفی 😍

بارش برف مسیر ییلاقات تالش 

آدم دلش میخواد زوزه بکشه :))))

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127705,1,❤,1692,🤣,244,😍,152,👍,79,👎,27
"وای خدای من!
تا حالا چشمایی به این قشنگی دیدین؟😍
( تصویر مربوط به دختری از ایل بزرگ بختیاری‌ است).

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127704,1,❤,6423,😍,902,👎,188,👍,175,🥰,56
"‏به این قوری میگن «Assassin's Teapot» و میگن تو ‎چین باستان برای مسموم کردن دشمنان ازش استفاده میشده! سازوکار ساده و جالبی هم داره!

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127703,1,🤯,1390,👍,354,👌,54,🤣,14,👎,12
"هروقت واردات رو آزاد کردید و خودرو رو به این قیمت خریدیم، بنزین رو هم گران کنید.

✍️فرهاد فتحی

🆔 @GizmizTel 💯",2024-10-24 16:32:44+00:00,127701,1,👍,3079,😢,256,👌,32,👎,30,❤,27
"اگه قصد خرید اینترنتی از یه آنلاین شاپ رو دارید ولی بهش اعتماد ندارین، لیست کد های رهگیریش رو چک کنین و چند تاشو بزنین تو سایت پست که ببینین ارسال شده اصلا؟ واقعیه؟ اسم شاپ همونه؟ یا الکیه کلا

🆔 @GizmizTel 💯",2024-10-24 16:32:43+00:00,127700,0,👍,2531,🤯,32,👎,15,❤,12,😢,10
"شوخی پسرا باهم یه عالم دیگه ای داره😁

+چقد تو گاوییییییییی🤣

🆔 @GizmizTel 💯",2024-10-24 16:32:43+00:00,127699,1,🤣,2224,😡,583,👎,355,👍,91,🤯,17
"ما ایرانیا همه چیمون فرق داره😂

🆔 @GizmizTel 💯",2024-10-24 16:32:43+00:00,127698,1,🤣,1565,👎,181,👍,95,😐,31,❤,15
